"","VIN..1.10.","County","City","State","Postal.Code","Model.Year","Make","Model","Electric.Vehicle.Type","Clean.Alternative.Fuel.Vehicle..CAFV..Eligibility","Electric.Range","Base.MSRP","Legislative.District","DOL.Vehicle.ID","Vehicle.Location","Electric.Utility","X2020.Census.Tract"
"850","WMZYU7C57K","Clark","Camas","WA",98607,2019,"MINI","COUNTRYMAN","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",12,36900,18,198391847,"POINT (-122.4220033 45.6092439)","BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)",53011040610
"851","5YJSA1CG3D","King","Des Moines","WA",98198,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,30,189221917,"POINT (-122.3145447 47.3984346)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033030003
"852","KNDJP3AE8G","King","Shoreline","WA",98133,2016,"KIA","SOUL","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",93,31950,32,138771776,"POINT (-122.342434 47.736655)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033020301
"853","5YJSA1H14E","King","Sammamish","WA",98074,2014,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,45,230541993,"POINT (-122.0430602 47.6259676)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033032316
"854","KNDJP3AE3H","King","Seattle","WA",98125,2017,"KIA","SOUL EV","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",93,32250,46,189415957,"POINT (-122.30253 47.72656)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033000101
"855","YV4BR0PK9J","Kitsap","Kingston","WA",98346,2018,"VOLVO","XC90","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",19,64950,23,238385591,"POINT (-122.4977 47.79802)","PUGET SOUND ENERGY INC",53035090102
"856","KNDJX3AE3G","Snohomish","Everett","WA",98201,2016,"KIA","SOUL","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",93,31950,38,348443077,"POINT (-122.2032447 47.9845088)","PUGET SOUND ENERGY INC",53061040500
"857","5YJSA1CPXD","King","Seattle","WA",98105,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,43,197910184,"POINT (-122.304212 47.664294)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033005201
"858","YV4BR0PL9J","King","Seattle","WA",98112,2018,"VOLVO","XC90","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",19,64950,43,305639141,"POINT (-122.30207 47.64085)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033006300
"859","KNDJX3AE0G","King","Redmond","WA",98052,2016,"KIA","SOUL","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",93,31950,48,162322051,"POINT (-122.13158 47.67858)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033032324
"860","WBAJA9C58J","King","Sammamish","WA",98074,2018,"BMW","530E","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",16,52650,45,171004844,"POINT (-122.0430602 47.6259676)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033032317
"861","5YJSA1CN2D","King","Seattle","WA",98115,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,46,197974752,"POINT (-122.3008235 47.6862671)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033004201
"862","KNDJX3AE2G","Jefferson","Nordland","WA",98358,2016,"KIA","SOUL","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",93,31950,24,101315287,"POINT (-122.691102 48.0485113)","BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY",53031950400
"863","WMZYU7C55K","Island","Oak Harbor","WA",98277,2019,"MINI","COUNTRYMAN","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",12,36900,10,255283633,"POINT (-122.6447164 48.3015146)","PUGET SOUND ENERGY INC",53029970300
"864","LYVBR0DL1K","King","Seattle","WA",98115,2019,"VOLVO","XC60","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",17,52900,46,151492911,"POINT (-122.3008235 47.6862671)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033004201
"865","5YJSA1DP5D","King","Maple Valley","WA",98038,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,5,226481041,"POINT (-122.0310296 47.3861675)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033032008
