"","VIN..1.10.","County","City","State","Postal.Code","Model.Year","Make","Model","Electric.Vehicle.Type","Clean.Alternative.Fuel.Vehicle..CAFV..Eligibility","Electric.Range","Base.MSRP","Legislative.District","DOL.Vehicle.ID","Vehicle.Location","Electric.Utility","X2020.Census.Tract"
"1","5YJSA1DPXC","Thurston","Olympia","WA",98502,2012,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",265,59900,22,188634442,"POINT (-122.92333 47.03779)","PUGET SOUND ENERGY INC",53067010600
"2","WBAJA9C51J","Thurston","Lacey","WA",98516,2018,"BMW","530E","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",16,52650,22,194339561,"POINT (-122.75103 47.08149)","PUGET SOUND ENERGY INC",53067012226
"3","5YJSA1CP0C","King","Sammamish","WA",98074,2012,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",265,59900,45,264362836,"POINT (-122.0430602 47.6259676)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033032217
"4","KNDJX3AE5G","King","Kirkland","WA",98034,2016,"KIA","SOUL","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",93,31950,45,211688172,"POINT (-122.2026532 47.7210518)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033021906
"5","WBA8E1C52J","King","Seattle","WA",98101,2018,"BMW","330E","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",14,45600,43,226065059,"POINT (-122.3340795 47.6099315)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033008401
"6","5YJSA1DP1D","King","Burien","WA",98166,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,34,266812843,"POINT (-122.3472273 47.4568458)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033027902
"7","YV4BR0PL7J","King","Seattle","WA",98117,2018,"VOLVO","XC90","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",19,64950,43,148820465,"POINT (-122.377938 47.690166)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033003400
"8","YV4BR0PLXJ","Island","Camano Island","WA",98282,2018,"VOLVO","XC90","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",19,64950,10,298759583,"POINT (-122.4842001 48.2013985)","BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY",53029971600
"9","5YJSA1DN8D","King","Bellevue","WA",98004,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,48,225083967,"POINT (-122.1872 47.61001)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033024001
"10","WBA8E1C58J","Clark","Vancouver","WA",98685,2018,"BMW","330E","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",14,45600,18,152121308,"POINT (-122.688741 45.711311)","BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)",53011040910
"11","5YJSA1CN7D","King","Bellevue","WA",98004,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,48,133413689,"POINT (-122.1872 47.61001)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033024001
"12","5YJSA1DP5D","King","Burien","WA",98146,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,34,246139834,"POINT (-122.3551826 47.5000521)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033026802
"13","WP1AE2AY4L","King","Bellevue","WA",98004,2020,"PORSCHE","CAYENNE","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",14,81100,41,107755245,"POINT (-122.1872 47.61001)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033023902
"14","5YJSA1DP6D","King","Auburn","WA",98092,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,47,122298914,"POINT (-122.1550193 47.2884536)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033029602
"15","KNDJX3AE9G","King","Seattle","WA",98119,2016,"KIA","SOUL","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",93,31950,36,110942296,"POINT (-122.3684 47.64586)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033006900
"16","WMZYU7C42J","King","Kent","WA",98042,2018,"MINI","COUNTRYMAN","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",12,36800,47,131420523,"POINT (-122.1145138 47.3581107)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033031708
"17","WBAJA9C54J","Island","Oak Harbor","WA",98277,2018,"BMW","530E","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",16,52650,10,251238144,"POINT (-122.6447164 48.3015146)","PUGET SOUND ENERGY INC",53029970602
"18","5YJSA1AC0D","King","Woodinville","WA",98072,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,45,4248569,"POINT (-122.1368031 47.7621254)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033021906
"19","5YJSA1CG1D","King","Kirkland","WA",98033,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,48,144824592,"POINT (-122.1925969 47.676241)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033022701
"20","5YJSA1H19E","Kitsap","Bainbridge Island","WA",98110,2014,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,23,192689283,"POINT (-122.5305071 47.6400595)","PUGET SOUND ENERGY INC",53035090902
"21","WBA8E1C55J","King","Kirkland","WA",98034,2018,"BMW","330E","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",14,45600,45,292913484,"POINT (-122.2026532 47.7210518)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033021904
"22","JF2GTDNCXK","King","Seattle","WA",98144,2019,"SUBARU","CROSSTREK","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",17,34995,37,216651809,"POINT (-122.3016563 47.5858977)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033009000
"23","WBAJB1C54K","King","Bellevue","WA",98004,2019,"BMW","530E","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",15,55700,48,478079332,"POINT (-122.1872 47.61001)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033024002
"24","5YJSA1DNXD","Kitsap","Bainbridge Island","WA",98110,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,23,111479035,"POINT (-122.5305071 47.6400595)","PUGET SOUND ENERGY INC",53035090700
"25","5YJSA1H17E","King","Sammamish","WA",98075,2014,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,41,213706790,"POINT (-122.0181135 47.5880568)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033032215
"26","5YJSA1CN2D","Jefferson","Port Townsend","WA",98368,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,24,130003240,"POINT (-122.7862046 48.1129794)","BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY",53031950502
"27","WBAJB1C52J","King","Bellevue","WA",98004,2018,"BMW","530E","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",14,54950,48,120863102,"POINT (-122.1872 47.61001)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033024001
"28","5YJSA1H29E","Yakima","Selah","WA",98942,2014,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,15,122190463,"POINT (-120.5517376 46.6678647)","PACIFICORP",53077003400
"29","KNDJX3AEXG","King","Kent","WA",98031,2016,"KIA","SOUL","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",93,31950,47,248114646,"POINT (-122.201564 47.402358)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033029408
"30","5YJSA1H11E","King","Medina","WA",98039,2014,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,48,4016638,"POINT (-122.2363532 47.621118)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033024200
"31","2C4RC1N77K","King","Burien","WA",98146,2019,"CHRYSLER","PACIFICA","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible",32,39995,34,476548103,"POINT (-122.3551826 47.5000521)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033026700
"32","KNDJX3AE6J","King","Seattle","WA",98125,2018,"KIA","SOUL EV","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",111,33950,46,350154178,"POINT (-122.30253 47.72656)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033001000
"33","WBA8E1C53H","King","Bothell","WA",98011,2017,"BMW","330E","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",14,44100,1,177758332,"POINT (-122.201408 47.754528)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033021804
"34","YV4BR0PL9J","King","Redmond","WA",98052,2018,"VOLVO","XC90","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",19,64950,45,157273945,"POINT (-122.13158 47.67858)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033032321
"35","YV4BR0DL3J","Clark","Battle Ground","WA",98604,2018,"VOLVO","XC60","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",17,52900,20,257643298,"POINT (-122.5256203 45.7875036)","BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)",53011040203
"36","5YJSA1H22E","King","Seattle","WA",98117,2014,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,36,103437904,"POINT (-122.377938 47.690166)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033003000
"37","WBAJB1C52J","Snohomish","Lake Stevens","WA",98258,2018,"BMW","530E","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",14,54950,44,180129008,"POINT (-122.0816912 48.0122934)","PUGET SOUND ENERGY INC",53061052604
"38","LYVBR0DL9J","King","Seattle","WA",98119,2018,"VOLVO","XC60","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",17,52900,36,293764565,"POINT (-122.3684 47.64586)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033006900
"39","KNDJX3AE6G","King","Shoreline","WA",98133,2016,"KIA","SOUL","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",93,31950,32,3114954,"POINT (-122.342434 47.736655)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033021000
"40","5YJSA1H1XE","King","Seattle","WA",98177,2014,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,36,203337438,"POINT (-122.3691687 47.7403542)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033001400
"41","5YJSA1H17E","King","Bellevue","WA",98006,2014,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,41,111721347,"POINT (-122.144149 47.560742)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033024902
"42","KNDJX3AE2G","King","Seattle","WA",98125,2016,"KIA","SOUL","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",93,31950,46,476094671,"POINT (-122.30253 47.72656)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033000201
"43","5YJSA1CN3D","Island","Oak Harbor","WA",98277,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,10,206191534,"POINT (-122.6447164 48.3015146)","PUGET SOUND ENERGY INC",53029970800
"44","WBAJB1C5XK","King","Shoreline","WA",98133,2019,"BMW","530E","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",15,55700,32,261589282,"POINT (-122.342434 47.736655)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033020700
"45","LYVBR0DM5J","King","Kirkland","WA",98033,2018,"VOLVO","XC60","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",17,52900,45,476000556,"POINT (-122.1925969 47.676241)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033022006
"46","WBA7J2C52K","King","Seattle","WA",98102,2019,"BMW","740E","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",14,91250,43,270210741,"POINT (-122.3212726 47.6296532)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033006600
"47","WBAJB1C50K","King","Bellevue","WA",98004,2019,"BMW","530E","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",15,55700,41,133683868,"POINT (-122.1872 47.61001)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033023901
"48","5YJSA1H17E","King","Bellevue","WA",98008,2014,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,48,146130162,"POINT (-122.1197677 47.6103472)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033023000
"49","5YJSA1CG9D","King","Seattle","WA",98102,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,43,215554664,"POINT (-122.3212726 47.6296532)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033006500
"50","WBA8E1C32H","King","Auburn","WA",98092,2017,"BMW","330E","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",14,44100,47,178980651,"POINT (-122.1550193 47.2884536)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033031208
"51","5YJSA1CG7D","King","Sammamish","WA",98075,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,41,120978546,"POINT (-122.0181135 47.5880568)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033032215
"52","YV4BR0PL2J","King","Bellevue","WA",98004,2018,"VOLVO","XC90","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",19,64950,41,297724843,"POINT (-122.1872 47.61001)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033023901
"53","LYVBR0DL3J","King","Kirkland","WA",98033,2018,"VOLVO","XC60","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",17,52900,48,348820825,"POINT (-122.1925969 47.676241)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033022502
"54","5YJSA1H20E","King","Kirkland","WA",98034,2014,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,45,170310899,"POINT (-122.2026532 47.7210518)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033021904
"55","WBAJB1C52J","King","Auburn","WA",98092,2018,"BMW","530E","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",14,54950,47,476180393,"POINT (-122.1550193 47.2884536)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033029702
"56","5YJSA1CN5C","King","Newcastle","WA",98056,2012,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",265,59900,41,186109808,"POINT (-122.1819876 47.5098889)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033024703
"57","WBAJA9C51K","Kitsap","Bainbridge Island","WA",98110,2019,"BMW","530E","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",16,53400,23,166500421,"POINT (-122.5305071 47.6400595)","PUGET SOUND ENERGY INC",53035090800
"58","YV4BR0DL6J","King","Kirkland","WA",98034,2018,"VOLVO","XC60","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",17,52900,45,100503007,"POINT (-122.2026532 47.7210518)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033021904
"59","WBA8E1C5XH","King","Seattle","WA",98119,2017,"BMW","330E","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",14,44100,36,245262573,"POINT (-122.3684 47.64586)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033005804
"60","WP0AH2A70J","King","Bellevue","WA",98006,2018,"PORSCHE","PANAMERA","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",14,184400,41,113244169,"POINT (-122.144149 47.560742)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033025007
"61","5YJSA1H1XE","Yakima","Grandview","WA",98930,2014,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,15,7424532,"POINT (-119.90123 46.25606)","BONNEVILLE POWER ADMINISTRATION||PACIFICORP||BENTON RURAL ELECTRIC ASSN",53077001902
"62","5YJSA1S12E","Yakima","Yakima","WA",98902,2014,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,14,123446403,"POINT (-120.530331 46.59534)","PACIFICORP",53077001202
"63","LYVBR0DK4J","King","Bellevue","WA",98008,2018,"VOLVO","XC60","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",17,52900,48,110275791,"POINT (-122.1197677 47.6103472)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033023100
"64","5YJSA1DP4D","King","Kirkland","WA",98033,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,45,216677254,"POINT (-122.1925969 47.676241)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033022402
"65","5YJSA1CG9D","King","Seattle","WA",98102,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,43,270170736,"POINT (-122.3212726 47.6296532)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033007406
"66","KNDJX3AE9G","Thurston","Olympia","WA",98506,2016,"KIA","SOUL","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",93,31950,22,147089407,"POINT (-122.87741 47.05997)","PUGET SOUND ENERGY INC",53067010200
"67","WBA8E1C37H","Clark","Vancouver","WA",98660,2017,"BMW","330E","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",14,44100,49,236531767,"POINT (-122.67156 45.63248)","BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)",53011042300
"68","5YJSA1CP1D","King","Bellevue","WA",98008,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,48,181695356,"POINT (-122.1197677 47.6103472)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033023000
"69","5YJSA1DN7D","Yakima","Yakima","WA",98902,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,15,116647926,"POINT (-120.530331 46.59534)","PACIFICORP",53077001201
"70","5YJSA1DN6D","King","Bellevue","WA",98004,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,48,121038802,"POINT (-122.1872 47.61001)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033023701
"71","WBA8E1C54G","Kitsap","Bainbridge Island","WA",98110,2016,"BMW","330E","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",14,43700,23,475367182,"POINT (-122.5305071 47.6400595)","PUGET SOUND ENERGY INC",53035091002
"72","KNDJX3AE3G","King","Seattle","WA",98115,2016,"KIA","SOUL","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",93,31950,46,106321974,"POINT (-122.3008235 47.6862671)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033002000
"73","WBA8E1C3XH","Snohomish","Everett","WA",98208,2017,"BMW","330E","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",14,44100,44,247400478,"POINT (-122.2032349 47.8956271)","PUGET SOUND ENERGY INC",53061041701
"74","YV4BR0DL4J","King","Seattle","WA",98112,2018,"VOLVO","XC60","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",17,52900,43,158520953,"POINT (-122.30207 47.64085)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033006400
"75","KNDJP3AE9G","Kitsap","Bainbridge Island","WA",98110,2016,"KIA","SOUL","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",93,31950,23,114928390,"POINT (-122.5305071 47.6400595)","PUGET SOUND ENERGY INC",53035090700
"76","5YJSA1DN4D","Kitsap","Bremerton","WA",98312,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,35,127420940,"POINT (-122.6961203 47.5759584)","PUGET SOUND ENERGY INC",53035080700
"77","5YJSA1CG8D","King","Seattle","WA",98177,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,36,189174597,"POINT (-122.3691687 47.7403542)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033001600
"78","5YJSA1CN2D","Clark","Vancouver","WA",98684,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,17,138115225,"POINT (-122.5241377 45.6278995)","BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)",53011041320
"79","WBA8E1C33H","King","Renton","WA",98056,2017,"BMW","330E","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",14,44100,41,192934059,"POINT (-122.1819876 47.5098889)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033025304
"80","2C4RC1N73K","Snohomish","Lynnwood","WA",98036,2019,"CHRYSLER","PACIFICA","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible",32,39995,1,151552887,"POINT (-122.29245 47.82557)","PUGET SOUND ENERGY INC",53061051932
"81","5YJRE11B88","King","Kirkland","WA",98033,2008,"TESLA","ROADSTER","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",220,98950,45,146370661,"POINT (-122.1925969 47.676241)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033022401
"82","YV4BR0PL2J","King","Kirkland","WA",98033,2018,"VOLVO","XC90","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",19,64950,45,348194150,"POINT (-122.1925969 47.676241)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033022006
"83","KNDJP3AE1H","King","Seattle","WA",98125,2017,"KIA","SOUL EV","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",93,32250,46,159407622,"POINT (-122.30253 47.72656)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033000900
"84","5YJSA1H11E","King","Auburn","WA",98002,2014,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,31,180892435,"POINT (-122.22285 47.30507)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033030600
"85","WMZYU7C58K","King","Kirkland","WA",98033,2019,"MINI","COUNTRYMAN","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",12,36900,48,338987211,"POINT (-122.1925969 47.676241)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033022604
"86","5YJSA1CG3D","King","Seattle","WA",98112,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,43,113783820,"POINT (-122.30207 47.64085)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033006300
"87","WBA8E1C57J","King","Kirkland","WA",98033,2018,"BMW","330E","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",14,45600,45,145459548,"POINT (-122.1925969 47.676241)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033022401
"88","KNDJX3AE9G","King","Seattle","WA",98125,2016,"KIA","SOUL","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",93,31950,46,6091053,"POINT (-122.30253 47.72656)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033000700
"89","5YJRE1A11A","King","Bellevue","WA",98004,2010,"TESLA","ROADSTER","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",245,110950,48,137365245,"POINT (-122.1872 47.61001)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033023806
"90","5YJSA1H12E","King","Newcastle","WA",98056,2014,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,41,155830846,"POINT (-122.1819876 47.5098889)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033024703
"91","5YJSA1DP9D","Clark","Vancouver","WA",98682,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,17,226053712,"POINT (-122.5286031 45.6686601)","BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)",53011040714
"92","KNDJP3AE0G","King","Seattle","WA",98108,2016,"KIA","SOUL","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",93,31950,11,263488382,"POINT (-122.3173531 47.5484673)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033010402
"93","LYVBR0DM9K","Kitsap","Bainbridge Island","WA",98110,2019,"VOLVO","XC60","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",17,52900,23,211029402,"POINT (-122.5305071 47.6400595)","PUGET SOUND ENERGY INC",53035090700
"94","5YJSA1CG5D","King","Seattle","WA",98112,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,43,134299098,"POINT (-122.30207 47.64085)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033006300
"95","5YJSA1H1XE","King","Kent","WA",98031,2014,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,47,208455460,"POINT (-122.201564 47.402358)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033029406
